369.71,18.98
298.81,18.5
259.98,17.07
351.61,18.18
131.56,11.42
259.28,18.71
189.63,14.84
283.69,16.84
267.24,17.68
191.22,8.36
339.61,19.39
336.73,22.82
294.59,18.81
368.64,21.82
145.0,9.88
197.1,11.37
156.3,11.87
359.84,19.39
334.64,21.21
202.82,12.49
335.93,25.88
325.86,22.36
152.32,13.59
396.88,18.55
187.66,13.27
390.14,24.07
345.75,23.62
392.57,24.62
195.65,9.71
108.68,9.07
342.28,15.95
294.94,14.97
376.34,21.56
347.35,21.47
224.62,17.57
389.16,19.93
375.75,23.87
205.29,12.86
250.81,18.55
333.17,16.61
164.48,10.14
337.07,20.33
153.62,8.87
319.2,15.83
249.64,12.17
