1,0,63,0,0,1,8.1,2589,283
1,0,21,1,0,0,5.1,3002,239
1,0,27,1,0,0,5.5,2811,301
0,1,21,1,0,0,5.51,3104,285
0,1,19,1,0,0,6.3,3314,217
1,0,35,1,0,0,18.7,255,103
0,1,41,1,0,0,3.15,3544,305
0,1,29,1,0,0,2.2,3015,412
1,0,35,1,0,0,3.3,2815,233
0,1,33,1,0,0,2.05,3301,302
1,0,23,1,0,0,7.3,2425,317
0,1,24,1,0,0,5.2,3734,399
1,0,55,0,1,0,3.7,2399,312
1,0,23,1,0,0,2.54,2956,217
0,1,24,1,0,0,1.8,3483,288
0,1,32,1,0,0,6.9,3189,381
1,0,18,1,0,0,7.3,2564,225
1,0,31,1,0,0,5.5,2987,290
0,1,46,0,1,0,2.3,2341,196
0,1,21,1,0,0,8.2,3098,401
1,0,53,0,1,0,3.4,3211,271
0,1,22,1,0,0,5.43,3801,322
1,0,21,1,0,0,8.5,2881,319
1,0,30,1,0,0,6.17,2533,311
0,1,31,1,0,0,3.9,3678,375
1,0,22,1,0,0,6.2,3019,309
1,0,24,1,0,0,3.25,3077,564
0,1,28,1,0,0,5.9,3109,310
1,0,20,1,0,0,5.4,3111,281
0,1,25,1,0,0,6.2,3019,287
1,0,38,1,0,0,2.19,2918,237
1,0,21,1,0,0,2.9,2504,254
0,1,23,1,0,0,3.02,3387,342
0,1,23,1,0,0,2.34,3232,293
1,0,23,1,0,0,3.31,3308,251
0,1,29,1,0,0,8.42,3018,335
1,0,20,1,0,0,3.14,3701,199
1,0,22,1,0,0,7.21,2735,271
1,0,21,1,0,0,2.91,2541,282
0,1,32,1,0,0,3.17,3355,335
